name,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser
Арипов Назарали Турдалиевич,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,",,Республика,",5,Республика,
Аркабаев Номанжан Акматович,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Арсалиев Эрик Сайдалиевич,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Арстанбеков Акылбек Советбекович,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Артыкбаев Осмонбек Мамбетжанович,0,45,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,СДПК",3,Самовыдвиженец,2.0
Артыкбаев Осмонбек Мамбетжанович,0,96,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,СДПК",4,СДПК,2.0
Артыкбаев Осмонбек Мамбетжанович,0,126,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,СДПК",6,СДПК,2.0
Артыков Анвар,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
Артыков Анвар Артыкович,0,114,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Асанакунов Мирбек Аскерович,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,",СДПК,,",4,СДПК,
Асанов Курсан Сатарович,0,105,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Аскарова Айнура Алмасбековна,0,43,1,0,0,0,0,0,0,0,0,0,1,0,0,",,,Кыргызстан",6,Кыргызстан,
Асылбаева Гюльшат Кадыровна,0,62,1,0,0,0,0,0,0,0,0,0,0,1,0,",,,Онугуу-Прогресс",6,Онугуу-Прогресс,
Асылбек уулу Дамирбек,1,73,0,0,1,0,0,0,0,0,0,0,1,0,0,",Ак Жол,,Кыргызстан",4,Ак Жол,2.0
Асылбек уулу Дамирбек,1,54,0,0,1,0,0,0,0,0,0,0,1,0,0,",Ак Жол,,Кыргызстан",6,Кыргызстан,2.0
Асымбекова Гульнара Уметовна,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
Атаджанов Сабир Садыкджанович,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Атамбаев Алмазбек Шаршенович,0,116,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Атамбаев Нурпазыл Сатышович,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Аттокуров Данияр Бексултанович,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Аттокуров Осмонали Абдибалиевич,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Баатырбеков Алмазбек Баатырбекович,1,91,0,0,0,0,0,0,0,1,0,0,1,0,0,",,Республика,Кыргызстан",5,Республика,1.0
Баатырбеков Алмазбек Баатырбекович,1,39,0,0,0,0,0,0,0,1,0,0,1,0,0,",,Республика,Кыргызстан",6,Кыргызстан,1.0
Бабанов Омурбек Токтогулович,1,51,0,1,0,0,0,0,0,1,0,0,0,0,1,"Самовыдвиженец,,Республика,Республика - Ата Журт",3,Самовыдвиженец,2.0
Бабанов Омурбек Токтогулович,1,93,0,1,0,0,0,0,0,1,0,0,0,0,1,"Самовыдвиженец,,Республика,Республика - Ата Журт",5,Республика,2.0
Бабанов Омурбек Токтогулович,1,90,0,1,0,0,0,0,0,1,0,0,0,0,1,"Самовыдвиженец,,Республика,Республика - Ата Журт",6,Республика - Ата Журт,2.0
Бадыкеева Нуржана Нуралиевна,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
Баекова Чолпон Турсуновна,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Базаркулова Гульмира Мукашевна,0,74,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Байбакпаев Экмат Джурукпаевич,0,91,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Байболов Кубатбек Калбекович,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Байбураева Айгуль Бекишовна,0,49,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Байло Николай Иванович,0,83,0,0,0,0,1,0,0,0,0,0,1,0,0,",Партия коммунистов Кыргызстана,,",4,Партия коммунистов Кыргызстана,
Баймуратов Калдарбек Шакирович,0,70,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Байсалов Эркин Абдыкадырович,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Байтиков Асанбек Байдолотович,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Бакир уула Турсунбая,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
Бакиров Мирлан Исакбекович,1,76,0,0,0,0,0,0,0,1,0,0,0,1,0,",,Республика,Онугуу-Прогресс",5,Республика,1.0
Бакиров Мирлан Исакбекович,1,57,0,0,0,0,0,0,0,1,0,0,0,1,0,",,Республика,Онугуу-Прогресс",6,Онугуу-Прогресс,1.0
Бакиров Омурбек Мирзараимович,0,129,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Бакчиев Джаныбек Абдукапарович,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,Бир Бол",6,Бир Бол,
Балтабаев Ташполот,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Ата Мекен,",5,Ата Мекен,
Батыров Кадыржан Алымджанович,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,,,",3,Самовыдвиженец,
Бекбоев Замир Исакович,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
