index,name,party
1,Абдыкеримов Шаршенбек Шайлообекович,Парламентская фракция «Кыргызстан»
2,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»
3,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»
4,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»
5,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК
6,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК
7,Акматов Алмазбек Жумабекович,Парламентская фракция «Бир Бол»
8,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»
9,Алтыбаева Айнуру Тойчиевна,Парламентская фракция СДПК
10,Алтынбеков Айбек,Парламентская фракция «Республика - Ата Журт»
11,Алыбаев   Орозбек  Артельевич,Парламентская фракция «Кыргызстан»
12,Аманкулов Марат Аскерович,Парламентская фракция СДПК
13,Арапбаев Азамат Абдуллажанович,Парламентская фракция СДПК
14,Артыков Анвар Артыкович,Парламентская фракция СДПК
15,Аскарова Айнура Алмасбековна,Парламентская фракция «Кыргызстан»
16,Асылбаева Гюльшат Кадыровна,Парламентская фракция «Онугуу-Прогресс»
17,Аттокуров Данияр Бексултанович,Парламентская фракция СДПК
18,Баатырбеков  Алмазбек Баатырбекович,Парламентская фракция «Кыргызстан»
19,Байбакпаев Экмат Джурукпаевич,Парламентская фракция «Республика - Ата Журт»
20,Баймуратов Калдарбек Шакирович,Парламентская фракция «Республика - Ата Журт»
21,Бакиров Мирлан Исакбекович,Парламентская фракция «Онугуу-Прогресс»
22,Бакиров Өмүрбек Мирзараимович,Парламентская фракция СДПК
23,Бакчиев Жаныбек Абдукапарович,Парламентская фракция «Бир Бол»
24,Бекешев Дастан Далабайевич,Парламентская фракция СДПК
25,Бешимбаева Айгерим Кабылбековна,Парламентская фракция «Республика - Ата Журт»
26,Бокоев Кенжебек Сатымкулович,Парламентская фракция «Республика - Ата Журт»
27,Гайпкулов Искандер Төрөбаевич,Парламентская фракция «Ата Мекен»
28,Джумабеков Дастанбек Артисбекович,Парламентская фракция «Кыргызстан»
29,Джураев Сайдолимжон Маруфович,Парламентская фракция СДПК
30,Дюшалиев Абдыбек Кашымбекович,Парламентская фракция «Республика - Ата Журт»
31,Жамалдинов Зиядин Исламович,Парламентская фракция «Онугуу-Прогресс»
32,Жапаров Акылбек Усенбекович,Парламентская фракция «Бир Бол»
33,Жеенчороев Мирлан Канатбекович,Парламентская фракция «Республика - Ата Журт»
34,Жетигенов Бакытбек Жеңишбекович,Парламентская фракция СДПК
35,Жолдошбаев Камчыбек Жолдошбаевич,Парламентская фракция «Онугуу-Прогресс»
36,Жоробеков Тариел Улукбекович,Парламентская фракция «Республика - Ата Журт»
37,Жумалиев Кубанычбек Мырзабекович,Парламентская фракция «Бир Бол»
38,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»
39,Жунус уулу Алтынбек,Парламентская фракция «Онугуу-Прогресс»
40,Жутанов Алмаз Токтоназарович,Парламентская фракция «Онугуу-Прогресс»
41,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК
42,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК
43,Зулушев Курманкул Токторалыевич,Парламентская фракция «Республика - Ата Журт»
44,Ибраев Саматбек Кулукеевич,Парламентская фракция СДПК
45,Икрамов Тазабек Икрамович,Парламентская фракция «Онугуу-Прогресс»
46,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»
47,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»
48,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»
49,Казакбаев Руслан Айтбаевич,Парламентская фракция «Республика - Ата Журт»
50,Карамушкина Ирина Юрьевна,Парламентская фракция СДПК
51,Карашев Аалы Азимович,Парламентская фракция СДПК
52,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК
53,Касымалиева  Аида Камчыбековна,Парламентская фракция СДПК
54,Келдибаев Сагындык Аширалиевич,Парламентская фракция «Республика - Ата Журт»
55,Керезбеков Канат Керезбекович,Парламентская фракция СДПК
56,Кодуранова Асель Союзбековна,Парламентская фракция СДПК
57,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»
58,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК
59,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»
60,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»
61,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК
62,Маматалиев Марлен Абдырахманович,Парламентская фракция «Республика - Ата Журт»
63,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»
64,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»
65,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»
66,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК
67,Масабиров Талайбек Айтмаматович,Парламентская фракция «Кыргызстан»
68,Матраимов Искендер Исмаилович,Парламентская фракция СДПК
69,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК
70,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК
71,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК
72,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»
73,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК
74,Нурматов Кубанычбек Советович,Парламентская фракция «Кыргызстан»
75,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»
76,Омуркулов Иса Шейшенкулович,Парламентская фракция СДПК
77,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»
78,Орозова Карамат Бабашевна,Парламентская фракция СДПК
79,Осмонова Айнура Шермаматовна,Парламентская фракция СДПК
80,Пирматов Исхак Айтбаевич,Парламентская фракция «Бир Бол»
81,Примов Улан Бердибаевич,Парламентская фракция СДПК
82,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»
83,Рысалиев Зарылбек Кылычбекович,Парламентская фракция «Республика - Ата Журт»
84,Рыспаев Кожобек Джайчыбекович,Парламентская фракция СДПК
85,Сабиров Максат Эсенович,Парламентская фракция «Республика - Ата Журт»
86,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
87,Самат Гульнара-Клара,Парламентская фракция «Ата Мекен»
88,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
89,Строкова Евгения Григорьевна,Парламентская фракция СДПК
90,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
91,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
92,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
93,Султанов Абдыкапар Маданбекович,Парламентская фракция «Онугуу-Прогресс»
94,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
95,Сыдыгалиев Бектен Качкыналиевич,Парламентская фракция «Кыргызстан»
96,Сыдыгалиев Нурбек Омурбекович,Парламентская фракция «Ата Мекен»
97,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
98,Тагаев Эрмамат Султанович,Парламентская фракция «Бир Бол»
99,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
100,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
101,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
102,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
103,Торобаев Бакыт Эргешевич,Парламентская фракция «Онугуу-Прогресс»
104,Торокулов Дүйшөн Гуламкадырович,Парламентская фракция «Бир Бол»
105,Тотонов Нурбек Темирбекович,Парламентская фракция «Республика - Ата Журт»
106,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
107,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
108,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
109,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
110,Турусбеков Бактыбек Сагындыкович,Парламентская фракция «Бир Бол»
111,Турускулов Жыргалбек Күрүчбекович,Парламентская фракция «Республика - Ата Журт»
112,Узакбаев Абылкайыр Осмонбекович,Парламентская фракция «Онугуу-Прогресс»
113,Чойбеков Руслан Нуркалиевич,Парламентская фракция «Кыргызстан»
114,Шайназаров Тынчтык Урайимович,Парламентская фракция «Онугуу-Прогресс»
115,Шарапов Закир Эшматович,Парламентская фракция «Республика - Ата Журт»
116,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
117,ЭГЕМБЕРДИЕВ Максатбек Бакирович,Парламентская фракция СДПК
118,Юсуров Абдумажит Лелезович,Парламентская фракция «Онугуу-Прогресс»
