index,name,party
1,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»
2,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»
3,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»
4,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК
5,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК
6,Акматов Алмазбек Жумабекович,Парламентская фракция «Бир Бол»
7,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»
8,Алтыбаева Айнуру Тойчиевна,Парламентская фракция СДПК
9,Алтынбеков Айбек,Парламентская фракция «Республика - Ата Журт»
10,Алыбаев   Орозбек  Артельевич,Парламентская фракция «Кыргызстан»
11,Аманкулов Марат Аскерович,Парламентская фракция СДПК
12,Арапбаев Азамат Абдуллажанович,Парламентская фракция СДПК
13,Артыкбаев Осмонбек Мамбетжанович,Парламентская фракция СДПК
14,Артыков Анвар Артыкович,Парламентская фракция СДПК
15,Асылбаева Гүлшат Кадыровна,Парламентская фракция «Онугуу-Прогресс»
16,Аттокуров Данияр Бексултанович,Парламентская фракция СДПК
17,Баатырбеков  Алмазбек Баатырбекович,Парламентская фракция «Кыргызстан»
18,Байбакпаев Экмат Джурукпаевич,Парламентская фракция «Республика - Ата Журт»
19,Баймуратов Калдарбек Шакирович,Парламентская фракция «Республика - Ата Журт»
20,Бакиров Мирлан Исакбекович,Парламентская фракция «Онугуу-Прогресс»
21,Бакиров Өмүрбек Мирзараимович,Парламентская фракция СДПК
22,Бакчиев Жаныбек Абдукапарович,Парламентская фракция «Бир Бол»
23,Бекешев Дастан Далабайевич,Парламентская фракция СДПК
24,Бокоев Кенжебек Сатымкулович,Парламентская фракция «Республика - Ата Журт»
25,Гайпкулов Искандер Төрөбаевич,Парламентская фракция «Ата Мекен»
26,Джумабеков Дастанбек Артисбекович,Парламентская фракция «Кыргызстан»
27,Джураев Сайдолимжон Маруфович,Парламентская фракция СДПК
28,Дюшалиев Абдыбек Кашымбекович,Парламентская фракция «Республика - Ата Журт»
29,Жамалдинов Зиядин Исламович,Парламентская фракция «Онугуу-Прогресс»
30,Жапаров Акылбек Усенбекович,Парламентская фракция «Бир Бол»
31,Жеенчороев Мирлан Канатбекович,Парламентская фракция «Республика - Ата Журт»
32,Жетигенов Бакытбек Жеңишбекович,Парламентская фракция СДПК
33,Жолдошбаев Камчыбек Жолдошбаевич,Парламентская фракция «Онугуу-Прогресс»
34,Жоробеков Тариел Улукбекович,Парламентская фракция «Республика - Ата Журт»
35,Жумалиев Кубанычбек Мырзабекович,Парламентская фракция «Бир Бол»
36,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»
37,Жунус уулу Алтынбек,Парламентская фракция «Онугуу-Прогресс»
38,Жутанов Алмаз Токтоназарович,Парламентская фракция «Онугуу-Прогресс»
39,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК
40,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК
41,Зулушев Курманкул Токторалыевич,Парламентская фракция «Республика - Ата Журт»
42,Икрамов Тазабек Икрамович,Парламентская фракция «Онугуу-Прогресс»
43,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»
44,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»
45,Исаев Жаныбек Базаркулович,Парламентская фракция «Кыргызстан»
46,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»
47,Исмаилова Аида Жекшенбаевна,Парламентская фракция «Республика - Ата Журт»
48,Казакбаев Руслан Айтбаевич,Парламентская фракция «Республика - Ата Журт»
49,Карамушкина Ирина Юрьевна,Парламентская фракция СДПК
50,Карашев Аалы Азимович,Парламентская фракция СДПК
51,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК
52,Касымалиева  Аида Камчыбековна,Парламентская фракция СДПК
53,Келдибаев Сагындык Аширалиевич,Парламентская фракция «Республика - Ата Журт»
54,Керезбеков Канат Керезбекович,Парламентская фракция СДПК
55,Кодуранова Асель Союзбековна,Парламентская фракция СДПК
56,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»
57,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК
58,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»
59,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»
60,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК
61,Маматалиев Марлен Абдырахманович,Парламентская фракция «Республика - Ата Журт»
62,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»
63,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»
64,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»
65,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК
66,Масабиров Талайбек Айтмаматович,Парламентская фракция «Кыргызстан»
67,Масалиев Исхак Абсаматович,Парламентская фракция «Онугуу-Прогресс»
68,Матраимов Искендер Исмаилович,Парламентская фракция СДПК
