index,name,party
87,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
88,Самат Гульнара-Клара,Парламентская фракция «Ата Мекен»
89,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
90,Строкова Евгения Григорьевна,Парламентская фракция СДПК
91,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
92,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
93,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
94,Султанов Абдыкапар Маданбекович,Парламентская фракция «Онугуу-Прогресс»
95,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
96,Сыдыгалиев Бектен Качкыналиевич,Парламентская фракция «Кыргызстан»
97,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
98,Тагаев Эрмамат Султанович,Парламентская фракция «Бир Бол»
99,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
100,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
101,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
102,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
103,Торобаев Бакыт Эргешевич,Парламентская фракция «Онугуу-Прогресс»
104,Торокулов Дүйшөн Гуламкадырович,Парламентская фракция «Бир Бол»
105,Тотонов Нурбек Темирбекович,Парламентская фракция «Республика - Ата Журт»
106,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
107,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
108,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
109,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
110,Турусбеков Бактыбек Сагындыкович,Парламентская фракция «Бир Бол»
111,Турускулов Жыргалбек Күрүчбекович,Парламентская фракция «Республика - Ата Журт»
112,Узакбаев Абылкайыр Осмонбекович,Парламентская фракция «Онугуу-Прогресс»
113,Чойбеков Руслан Нуркалиевич,Парламентская фракция «Кыргызстан»
114,Шайназаров Тынчтык Урайимович,Парламентская фракция «Онугуу-Прогресс»
115,Шарапов Закир Эшматович,Парламентская фракция «Республика - Ата Журт»
116,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
117,Шыкмаматов Алмамбет Насырканович,Парламентская фракция «Ата Мекен»
118,ЭГЕМБЕРДИЕВ Максатбек Бакирович,Парламентская фракция СДПК
119,Эргешов Алмазбек Манасбекович,Парламентская фракция «Кыргызстан»
120,Юсуров Абдумажит Лелезович,Парламентская фракция «Онугуу-Прогресс»
