index,name,party
1,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»
2,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»
3,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»
4,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК
5,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК
6,Акматов Алмасбек Жумабекович,Парламентская фракция «Бир Бол»
7,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»
8,Алтыбаева Айнуру Тойчиевна,Парламентская фракция СДПК
9,Алтынбеков Айбек,Парламентская фракция «Республика - Ата Журт»
10,Аманкулов Марат Аскерович,Парламентская фракция СДПК
11,Арапбаев Азамат Абдуллажанович,Парламентская фракция СДПК
12,Артыкбаев Осмонбек Мамбетжанович,Парламентская фракция СДПК
13,Артыков Анвар Артыкович,Парламентская фракция СДПК
14,Асылбаева Гүлшат Кадыровна,Парламентская фракция «Онугуу-Прогресс»
15,Аттокуров Данияр Бексултанович,Парламентская фракция СДПК
16,Баатырбеков Алмазбек Баатырбекович,Парламентская фракция «Кыргызстан»
17,Байбакпаев Экмат Джурукпаевич,Парламентская фракция «Республика - Ата Журт»
18,Баймуратов Калдарбек Шакирович,Парламентская фракция «Республика - Ата Журт»
19,Бакиров Мирлан Исакбекович,Парламентская фракция «Онугуу-Прогресс»
20,Бакчиев Жаныбек Абдукапарович,Парламентская фракция «Бир Бол»
21,Бекешев Дастан Далабайевич,Парламентская фракция СДПК
22,Бокоев Кенжебек Сатымкулович,Парламентская фракция «Республика - Ата Журт»
23,Гайпкулов Искандер Төрөбаевич,Парламентская фракция «Ата Мекен»
24,Джумабеков Дастанбек Артисбекович,Парламентская фракция «Кыргызстан»
25,Джураев Сайдолимжон Маруфович,Парламентская фракция СДПК
26,Дюшалиев Абдыбек Кашымбекович,Парламентская фракция «Республика - Ата Журт»
27,Жамалдинов Зиядин Исламович,Парламентская фракция «Онугуу-Прогресс»
28,Жамангулов Акылбек Жекшенович,Парламентская фракция «Республика - Ата Журт»
29,Жапаров Акылбек Усенбекович,Парламентская фракция «Бир Бол»
30,Жеенчороев Мирлан Канатбекович,Парламентская фракция «Республика - Ата Журт»
31,Жетигенов Бакытбек Жеңишбекович,Парламентская фракция СДПК
32,Жолдошбаев Камчыбек Жолдошбаевич,Парламентская фракция «Онугуу-Прогресс»
33,Жумалиев Кубанычбек Мырзабекович,Парламентская фракция «Бир Бол»
34,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»
35,Жунус уулу Алтынбек,Парламентская фракция «Онугуу-Прогресс»
36,Жутанов Алмаз Токтоназарович,Парламентская фракция «Онугуу-Прогресс»
37,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК
38,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК
39,Зулушев Курманкул Токторалыевич,Парламентская фракция «Республика - Ата Журт»
40,Ибраимжанов Болотбек Сапарбаевич,Парламентская фракция «Республика - Ата Журт»
41,Икрамов Тазабек Икрамович,Парламентская фракция «Онугуу-Прогресс»
42,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»
43,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»
44,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»
45,Исаков  Музаффар Ахматходжаевич,Парламентская фракция СДПК
46,Исмаилова Аида Жекшенбаевна,Парламентская фракция «Республика - Ата Журт»
47,Казакбаев Руслан Айтбаевич,Парламентская фракция «Республика - Ата Журт»
48,Карамушкина Ирина Юрьевна,Парламентская фракция СДПК
49,Карашев Аалы Азимович,Парламентская фракция СДПК
50,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК
51,Касымалиева  Аида Камчыбековна,Парламентская фракция СДПК
52,Керезбеков Канат Керезбекович,Парламентская фракция СДПК
53,Кодуранова Асель Союзбековна,Парламентская фракция СДПК
54,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»
55,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК
56,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»
57,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»
58,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК
59,Макеев Нурланбек Кадыкеевич,Парламентская фракция «Кыргызстан»
60,Маматалиев Марлен Абдырахманович,Парламентская фракция «Республика - Ата Журт»
61,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»
62,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»
63,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»
64,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК
65,Масабиров Талайбек Айтмаматович,Парламентская фракция «Кыргызстан»
66,Масалиев Исхак Абсаматович,Парламентская фракция «Онугуу-Прогресс»
67,Матраимов Искендер Исмаилович,Парламентская фракция СДПК
68,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК
