index,name,party
1,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»
2,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»
3,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»
4,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК
5,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК
6,Акматов Алмасбек Жумабекович,Парламентская фракция «Бир Бол»
7,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»
8,Алтыбаева Айнуру Тойчиевна,Парламентская фракция СДПК
9,Алтынбеков Айбек,Парламентская фракция «Республика - Ата Журт»
10,Аманкулов Марат Аскерович,Парламентская фракция СДПК
11,Арапбаев Азамат Абдуллажанович,Парламентская фракция СДПК
12,Артыкбаев Осмонбек Мамбетжанович,Парламентская фракция СДПК
13,Артыков Анвар Артыкович,Парламентская фракция СДПК
14,Асылбаева Гүлшат Кадыровна,Фракция «Онугуу-Прогресс»
15,Асылбек уулу Дамирбек,Парламентская фракция «Кыргызстан»
16,Аттокуров Данияр Бексултанович,Парламентская фракция СДПК
17,Баатырбеков Алмазбек Баатырбекович,Парламентская фракция «Кыргызстан»
18,Бабанов Омурбек Токтогулович,Парламентская фракция «Республика - Ата Журт»
19,Байбакпаев Экмат Джурукпаевич,Парламентская фракция «Республика - Ата Журт»
20,Баймуратов Калдарбек Шакирович,Парламентская фракция «Республика - Ата Журт»
21,Бакиров Мирлан Исакбекович,Фракция «Онугуу-Прогресс»
22,Бакчиев Джаныбек Абдукапарович,Парламентская фракция «Бир Бол»
23,Бекешев Дастан Далабайевич,Парламентская фракция СДПК
24,Бокоев Кенжебек Сатымкулович,Парламентская фракция «Республика - Ата Журт»
25,Джакупова Чолпон Идиновна,Парламентская фракция «Бир Бол»
26,Жамалдинов Зиядин Исламович,Фракция «Онугуу-Прогресс»
27,Жамангулов Акылбек Жекшенович,Парламентская фракция «Республика - Ата Журт»
28,Жапаров Акылбек Усенбекович,Парламентская фракция «Бир Бол»
29,Жеенчороев Мирлан Канатбекович,Парламентская фракция «Республика - Ата Журт»
30,Жетигенов Бакытбек Жеңишбекович,Парламентская фракция СДПК
31,Жолдошбаев Камчыбек Жолдошбаевич,Фракция «Онугуу-Прогресс»
32,Жумабеков Дастанбек Артисбекович,Парламентская фракция «Кыргызстан»
33,Жумалиев Кубанычбек Мырзабекович,Парламентская фракция «Бир Бол»
34,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»
35,Жунус уулу Алтынбек,Фракция «Онугуу-Прогресс»
36,Жураев Сайдолимжон Маруфович,Парламентская фракция СДПК
37,Жутанов Алмаз Токтоназарович,Фракция «Онугуу-Прогресс»
38,Жылкыбаев Узарбек Казиевич,Парламентская фракция СДПК
39,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК
40,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК
41,Зулушев Курманкул Токторалыевич,Парламентская фракция «Республика - Ата Журт»
42,Ибраимжанов Болотбек Сапарбаевич,Парламентская фракция «Республика - Ата Журт»
43,Икрамов Тазабек Икрамович,Фракция «Онугуу-Прогресс»
44,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»
45,Иминов Фархат Ажмуханбетович,Парламентская фракция «Республика - Ата Журт»
46,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»
47,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»
48,Исаев Тилектеш Каримович,Парламентская фракция СДПК
49,Исаков  Музаффар Ахматходжаевич,Парламентская фракция СДПК
50,Исакунова Таалайкул Базаркуловна,Парламентская фракция «Кыргызстан»
51,Исмаилова Аида Жекшенбаевна,Парламентская фракция «Республика - Ата Журт»
52,Кадыркулов Искендер Анарбекович,Парламентская фракция СДПК
53,Казакбаев Руслан Айтбаевич,Парламентская фракция «Республика - Ата Журт»
54,Калмаматов Жыргалбек Айтиевич,Парламентская фракция «Кыргызстан»
55,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК
56,Кодуранова Асел Союзбековна,Парламентская фракция СДПК
57,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»
58,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК
59,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»
60,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»
61,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК
62,Макеев Нурланбек Кадыкеевич,Парламентская фракция «Кыргызстан»
63,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»
64,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»
65,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»
66,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК
67,Масабиров Таалайбек Айтмаматович,Парламентская фракция «Кыргызстан»
68,Масалиев Исхак Абсаматович,Фракция «Онугуу-Прогресс»
