index,name,party
69,Матраимов Искендер Исмаилович,Парламентская фракция СДПК
70,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК
71,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК
72,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК
73,Назаров Айтмамат Кошоевич,Парламентская фракция «Кыргызстан»
74,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»
75,Нишанов Нургазы Нурланович,Парламентская фракция «Республика - Ата Журт»
76,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК
77,Нурматов Кубанычбек Советович,Парламентская фракция «Кыргызстан»
78,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»
79,Омурбекова Алтынай Сейтбековна,Парламентская фракция «Республика - Ата Журт»
80,Өмүркулов Иса Шейшенкулович,Парламентская фракция СДПК
81,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»
82,Орозова Карамат Бабашевна,Парламентская фракция СДПК
83,Пирматов Исхак Айтбаевич,Парламентская фракция «Бир Бол»
84,Примов Улан Бердибаевич,Парламентская фракция СДПК
85,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»
86,Рыспаев Кожобек Жайчыбекович,Парламентская фракция СДПК
87,Сабиров Максат Эсенович,Парламентская фракция «Республика - Ата Журт»
88,Салянова Аида Женишбековна,Парламентская фракция «Ата Мекен»
89,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
90,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
91,Строкова Евгения Григорьевна,Парламентская фракция СДПК
92,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
93,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
94,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
95,Султанбекова Чолпон Аалыевна,Парламентская фракция «Кыргызстан»
96,Султанов Абдыкапар Маданбекович,Фракция «Онугуу-Прогресс»
97,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
98,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
99,Текебаев Омурбек Чиркешович,Парламентская фракция «Ата Мекен»
100,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
101,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
102,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
103,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
104,Төрөбаев Бакыт Эргешевич,Фракция «Онугуу-Прогресс»
105,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
106,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
107,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
108,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
109,Турускулов Жыргалбек Куручбекович,Парламентская фракция «Республика - Ата Журт»
110,Узакбаев Абылкайыр Осмонбекович,Фракция «Онугуу-Прогресс»
111,Чолпонбаев Улан Сапарбекович,Парламентская фракция «Республика - Ата Журт»
112,Чудинов Игорь Витальевич,Парламентская фракция «Бир Бол»
113,Шадиев Аскарбек Алимбаевич,Парламентская фракция «Бир Бол»
114,Шайназаров Тынчтык Урайимович,Фракция «Онугуу-Прогресс»
115,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
116,Шыкмаматов Алмамбет Насырканович,Парламентская фракция «Ата Мекен»
117,Эгембердиев Максатбек Бакирович,Парламентская фракция СДПК
118,Юсуров Абдумажит Лелезович,Фракция «Онугуу-Прогресс»
