name,party
Сарсейитов Исланбек Зайырбекович,Кыргызстан
Торокулов Дуйшон Гуламкадырович,Бир Бол
Эргешов Алмазбек Манасбекович,Кыргызстан
Керезбеков Канат Керезбекович,СДПК
Осмонова Айнура Шермаматовна,СДПК
Касымалиева Аида Камчыбековна,СДПК
Шарапов Закир Эшматович,Республика - Ата Журт
Гайпкулов Искандер Торобаевич,Ата Мекен
Рысалиев Зарылбек Кылычбекович,Республика - Ата Журт
Дюшалиев Абдыбек Кашымбекович,Республика - Ата Журт
Маматалиев Марлен Абдырахманович,Республика - Ата Журт
Мусаев Насыр Исмазович,Кыргызстан
Чойбеков Руслан Нуркалиевич,Кыргызстан
Келдибаев Сагындык Аширалиевич,Республика - Ата Журт
Алыбаев Орозбек Артильевич,Кыргызстан
Исаев Жаныбек Базаркулович,Кыргызстан
Жоробеков Тариел Улукбекович,Республика - Ата Журт
Самат Гульнара-Клара,Ата Мекен
Алыбаев Орозбек Артельевич,Кыргызстан
Турусбеков Бактыбек Сагындыкович,Бир Бол
Тагаев Эрмамат Султанович,Бир Бол
Тотонов Нурбек Темирбекович,Республика - Ата Журт
Бакиров Омурбек Мирзараимович,СДПК
Аскарова Айнура Алмасбековна,Кыргызстан
Сыдыгалиев Бектен Качкыналиевич,Кыргызстан
Сыдыгалиев Нурбек Омурбекович,Ата Мекен
Абдыкеримов Шаршенбек Шайлообекович,Кыргызстан
Бешимбаева Айгерим Кабылбековна,Республика - Ата Журт
Ибраев Саматбек Кулукеевич,СДПК
