index,name,party
1.,Абдуллаева Чолпон Галийаскеровна,Политическая партия «Народная партия «Ак Жол»
2.,Абдыраимова Роза Асановна,Политическая партия «Народная партия «Ак Жол»
3.,Абдырасаков Бейшенбек Токтобаевич,Политическая партия «Народная партия «Ак Жол»
4.,Азыранкулов Айбек Джаныбекович,Социал-демократическая партия Кыргызстана (СДПК)
5.,Айдаров Нургазы Абдыраевич,Политическая партия «Народная партия «Ак Жол»
6.,Акрамов Эрнаст Хашимович,Политическая партия «Народная партия «Ак Жол»
7.,Акунов Бейшебек ,Партия коммунистов Кыргызстана
8.,Арабаев Автандил Анисович,Политическая партия «Народная партия «Ак Жол»
9.,Арапбаев Азамат Абдуллажанович,Политическая партия «Народная партия «Ак Жол»
10.,Арсалиев Эрик Сайдалиевич ,Политическая партия «Народная партия «Ак Жол»
11.,Асанакунов Мирбек Аскерович,Социал-демократическая партия Кыргызстана (СДПК)
12.,Асылбек уулу Дамирбек,Политическая партия «Народная партия «Ак Жол»
13.,Атамбаев Нурпазыл Сатышович,Политическая партия «Народная партия «Ак Жол»
14.,Аттокуров Осмонали Абдибалиевич,Политическая партия «Народная партия «Ак Жол»
15.,Баекова Чолпон Турсуновна,Политическая партия «Народная партия «Ак Жол»
16.,Байбураева Айгуль Бекишовна,Политическая партия «Народная партия «Ак Жол»
17.,Байло Николай Иванович,Партия коммунистов Кыргызстана
18.,Байтиков Асанбек Байдолотович,Политическая партия«Народная партия «Ак Жол»
19.,Бекенова Зулхабира ,Политическая партия «Народная партия «Ак Жол»
20.,"
",Социал-демократическая партия Кыргызстана (СДПК)
21.,Бурканов Арзыбек Орозматович,Политическая партия «Народная партия «Ак Жол»
22.,Бурханов Авдикаримходжа Ходжаевич,Политическая партия «Народная партия «Ак Жол»
23.,Данилов Юрий Анатольевич,Политическая партия «Народная партия «Ак Жол»
24.,Дербишева Гульнара Толубаевна,Политическая партия «Народная партия «Ак Жол»
25.,Джолдошев Кубанычбек Ниязович,Политическая партия «Народная партия «Ак Жол»
26.,,Политическая партия «Народная партия «Ак Жол»
27.,Жакыпов Жолдошбек Сейталиевич,Политическая партия«Народная партия «Ак Жол»
28.,Жамалдинов Зиядин Исламович,Политическая партия «Народная партия «Ак Жол»
29.,Жумабекова Турдукан Абдыкарыевна,Политическая партия «Народная партия «Ак Жол»
