index,name,party
1.,Абдуллаева Чолпон Галийаскеровна,Политическая партия «Народная партия «Ак Жол»
2.,Абдыраимова Роза Асановна,Политическая партия «Народная партия «Ак Жол»
3.,Абдырасаков Бейшенбек Токтобаевич,Политическая партия «Народная партия «Ак Жол»
4.,Айдаров Нургазы Абдыраевич,Политическая партия «Народная партия «Ак Жол»
5.,Акрамов Эрнаст Хашимович,Политическая партия «Народная партия «Ак Жол»
6.,Акунов Бейшебек ,Партия коммунистов Кыргызстана
7.,Арабаев Автандил Анисович,Политическая партия «Народная партия «Ак Жол»
8.,Арапбаев Азамат Абдуллажанович,Политическая партия «Народная партия «Ак Жол»
9.,Арсалиев Эрик Сайдалиевич ,Политическая партия «Народная партия «Ак Жол»
10.,Артыкбаев Осмонбек Мамбетжанович,Социал-демократическая партия Кыргызстана (СДПК)
11.,Атамбаев Нурпазыл Сатышович,Политическая партия «Народная партия «Ак Жол»
12.,Аттокуров Осмонали Абдибалиевич,Политическая партия «Народная партия «Ак Жол»
13.,Баекова Чолпон Турсуновна,Политическая партия «Народная партия «Ак Жол»
14.,Байбураева Айгуль Бекишовна,Политическая партия «Народная партия «Ак Жол»
15.,Байло Николай Иванович,Партия коммунистов Кыргызстана
16.,Байтиков Асанбек Байдолотович,Политическая партия«Народная партия «Ак Жол»
17.,Бекенова Зулхабира ,Политическая партия «Народная партия «Ак Жол»
18.,Бешимов Бактыбек Джолчубекович,Социал-демократическая партия Кыргызстана (СДПК)
19.,Бурканов Арзыбек Орозматович,Политическая партия «Народная партия «Ак Жол»
21.,Бурханов Авдикаримходжа Ходжаевич,Политическая партия «Народная партия «Ак Жол»
21.,Данилов Юрий Анатольевич,Политическая партия «Народная партия «Ак Жол»
22.,Дербишева Гульнара Толубайевна,Политическая партия «Народная партия «Ак Жол»
23.,Джолдошев Кубанычбек Ниязович,Политическая партия «Народная партия «Ак Жол»
24.,Джунусов Ибрагим Коджоназарович,Политическая партия «Народная партия «Ак Жол»
25.,Джураев Мурат Каттабекович ,Социал-демократическая партия Кыргызстана (СДПК)
26.,Джээнбеков Жусупжан Амражанович,Социал-демократическая партия Кыргызстана (СДПК)
27.,Жакыпов Жолдошбек Сейталиевич,Политическая партия«Народная партия «Ак Жол»
28.,Жамалдинов Зиядин Исламович,Политическая партия «Народная партия «Ак Жол»
