index,name,party
1.,Абдуллаева Чолпон Галийаскеровна,Политическая партия «Народная партия «Ак Жол»
2.,Абдыраимова Роза Асановна,Политическая партия «Народная партия «Ак Жол»
3.,Абдырасаков Бейшенбек Токтобаевич,Политическая партия «Народная партия «Ак Жол»
4.,Айдаров Нургазы Абдыраевич,Политическая партия «Народная партия «Ак Жол»
5.,Акрамов Эрнаст Хашимович,Политическая партия «Народная партия «Ак Жол»
6.,Акунов Бейшебек ,Партия коммунистов Кыргызстана
7.,Арабаев Автандил Анисович,Политическая партия «Народная партия «Ак Жол»
8.,Арсалиев Эрик Сайдалиевич ,Политическая партия «Народная партия «Ак Жол»
9.,Артыкбаев Осмонбек Мамбетжанович,СДПК
10.,Атамбаев Нурпазыл Сатышович,Политическая партия «Народная партия «Ак Жол»
11.,Аттокуров Осмонали Абдибалиевич,Политическая партия «Народная партия «Ак Жол»
12.,Баекова Чолпон Турсуновна,Политическая партия «Народная партия «Ак Жол»
13.,Байбураева Айгуль Бекишовна,Политическая партия «Народная партия «Ак Жол»
14.,Байло Николай Иванович,Партия коммунистов Кыргызстана
15.,Байтиков Асанбек Байдолотович,Политическая партия«Народная партия «Ак Жол»
16.,Бекенова Зулхабира ,Политическая партия «Народная партия «Ак Жол»
17.,Бешимов Бактыбек Джолчубекович,СДПК
18.,Бурканов Арзыбек Орозматович,Политическая партия «Народная партия «Ак Жол»
19.,Данилов Юрий Анатольевич,Политическая партия «Народная партия «Ак Жол»
20.,Дербишева Гульнара Толубайевна,Политическая партия «Народная партия «Ак Жол»
21.,Джолдошев Кубанычбек Ниязович,Политическая партия «Народная партия «Ак Жол»
22.,Джунусов Ибрагим Коджоназарович,Политическая партия «Народная партия «Ак Жол»
23.,Джураев Мурат Каттабекович ,СДПК
24.,Джээнбеков Жусупжан Амражанович,СДПК
25.,Жамалдинов Зиядин Исламович,Политическая партия «Народная партия «Ак Жол»
26.,Жумабекова Турдукан Абдыкарыевна,Политическая партия «Народная партия «Ак Жол»
27.,Жээнбеков Асилбек Шарипович,СДПК
28.,Ибрагимов Сергей Мухамедович,Политическая партия «Народная партия «Ак Жол»
29.,Арапбаев Азамат Абдуллажанович,Политическая партия «Народная партия «Ак Жол»
30.,Иманалиев Бактыбек Тыбынович,Политическая партия «Народная партия «Ак Жол»
31.,Иманалиева Айнура Касымбековна,Политическая партия «Народная партия «Ак Жол»
