index,name,party
78.,Султаналиева Гульжамал Тиленбаевна,Партия коммунистов Кыргызстана
79.,Сыдыкова Лейла Чынтургановна,Политическая партия «Народная партия «Ак Жол»
80.,Тагаев Айтибай Султанович,Политическая партия «Народная партия «Ак Жол»
81.,Тагаев Рашид Бакирович,Политическая партия «Народная партия «Ак Жол»
82.,Толонов Арапбай,Политическая партия «Народная партия «Ак Жол»
83.,Торобаев Бакыт Эргешевич,Политическая партия «Народная партия «Ак Жол»
84.,Тулендыбаев Пархат Розымович,Политическая партия «Народная партия «Ак Жол»
85.,Турсунбаев Азизбек Атакозуевич,Политическая партия «Народная партия «Ак Жол» 
86.,Шабанова Татьяна Владимировна,Политическая партия «Народная партия «Ак Жол»
87.,Шабатоев Руслан Алымкулович,Социал-демократическая партия Кыргызстана (СДПК)
88.,Шадиев Аскарбек Алимбаевич,Политическая партия «Народная партия «Ак Жол»
89.,Шин Роман ,Партия коммунистов Кыргызстана
90.,Юсуров Абдумеджит Лелезович,Политическая партия «Народная партия «Ак Жол»
