name,party_I,party_II,party_III,party_IV,party_V,party_VI,partyChanger,isFemale,allParties,partyCount,isPartyConstant
Айдаров Салайдин Абдираевич,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Эргешов Алмазбек Манасбекович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Абдыкеримов Шаршенбек Шайлообекович,,,,,,Кыргызстан,0,0,",,,,,Кыргызстан",1,False
Торобаев Бакыт Эргешевич,,,,Ак Жол,Республика,Онугуу-Прогресс,1,0,",,,Ак Жол,Республика,Онугуу-Прогресс",3,False
Бакиров Мирлан Исакбекович,,,,,Республика,Онугуу-Прогресс,1,0,",,,,Республика,Онугуу-Прогресс",2,False
Шайназаров Тынчтык Урайимович,,,,,Республика,Онугуу-Прогресс,1,0,",,,,Республика,Онугуу-Прогресс",2,False
Жамалдинов Зиядин Исламович,,,Самовыдвиженцы,Ак Жол,,Онугуу-Прогресс,1,0,",,Самовыдвиженцы,Ак Жол,,Онугуу-Прогресс",3,False
Юсуров Абдумажит Лелезович,,,,Ак Жол,,Онугуу-Прогресс,1,0,",,,Ак Жол,,Онугуу-Прогресс",2,False
Масалиев Исхак Абсаматович,,Самовыдвиженцы,Партия коммунистов,Партия коммунистов,,Онугуу-Прогресс,1,0,",Самовыдвиженцы,Партия коммунистов,Партия коммунистов,,Онугуу-Прогресс",4,False
Жолдошбаев Камчыбек Жолдошбаевич,,,Адилет,,,Онугуу-Прогресс,1,0,",,Адилет,,,Онугуу-Прогресс",2,False
Узакбаев Абылкайыр Осмонбекович,,,,,,Онугуу-Прогресс,0,0,",,,,,Онугуу-Прогресс",1,False
Султанов Абдыкапар Маданбекович,,,,,,Онугуу-Прогресс,0,0,",,,,,Онугуу-Прогресс",1,False
Асылбаева Гюльшат Кадыровна,,,,,,Онугуу-Прогресс,0,1,",,,,,Онугуу-Прогресс",1,False
Жунус уулу Алтынбек,,,,,,Онугуу-Прогресс,0,0,",,,,,Онугуу-Прогресс",1,False
Жутанов Алмаз Токтоназарович,,,,,,Онугуу-Прогресс,0,0,",,,,,Онугуу-Прогресс",1,False
Икрамов Тазабек Икрамович,,,,,,Онугуу-Прогресс,0,0,",,,,,Онугуу-Прогресс",1,False
Исаева Динара Шертаевна,,,,Ак Жол,Ата-Журт,Республика - Ата Журт,1,1,",,,Ак Жол,Ата-Журт,Республика - Ата Журт",3,False
Мамытов Талант Турдумаматович,,,,,Ата-Журт,Республика - Ата Журт,0,0,",,,,Ата-Журт,Республика - Ата Журт",2,True
Чолпонбаев Улан Сапарбекович,,,,,Ата-Журт,Республика - Ата Журт,0,0,",,,,Ата-Журт,Республика - Ата Журт",2,True
Бабанов Омурбек Токтогулович,,,Самовыдвиженцы,,Республика,Республика - Ата Журт,0,0,",,Самовыдвиженцы,,Республика,Республика - Ата Журт",3,True
Омурбекова Алтынай Сейтбековна,,,,,Республика,Республика - Ата Журт,0,1,",,,,Республика,Республика - Ата Журт",2,True
Бокоев Кенжебек Сатымкулович,,,,,Республика,Республика - Ата Журт,0,0,",,,,Республика,Республика - Ата Журт",2,True
Сабиров Максат Эсенович,,,,,Республика,Республика - Ата Журт,0,0,",,,,Республика,Республика - Ата Журт",2,True
Тулендыбаев Пархат Розымович,,,,Ак Жол,,Республика - Ата Журт,1,0,",,,Ак Жол,,Республика - Ата Журт",2,False
Абжалиев Алиярбек Токобекович,,,Самовыдвиженцы,,,Республика - Ата Журт,0,0,",,Самовыдвиженцы,,,Республика - Ата Журт",2,False
Шарапов Закир Эшматович,,Самовыдвиженцы,,,,Республика - Ата Журт,0,0,",Самовыдвиженцы,,,,Республика - Ата Журт",2,False
Баймуратов Калдарбек Шакирович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Туманбаева Рада Мураталыевна,,,,,,Республика - Ата Журт,0,1,",,,,,Республика - Ата Журт",1,False
Зулушев Курманкул Токторалыевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Сыдыков Бактыбек Усенович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Ибраимжанов Болотбек Сапарбаевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Жеенчороев Мирлан Канатбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Турускулов Жыргалбек Куручбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Алтынбеков Айбек,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Тиллаев Таабалды Гапырович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Жунус уулу Адыл,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Жамангулов Акылбек Жекшенович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Дюшалиев Абдыбек Кашымбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Жоробеков Тариел Улукбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Тотонов Нурбек Темирбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Байбакпаев Экмат Джурукпаевич,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Исмаилова Аида Жекшенбаевна,,,,,,Республика - Ата Журт,0,1,",,,,,Республика - Ата Журт",1,False
Рысалиев Зарылбек Кылычбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Райымкулов Бактыбек Кемелбекович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Маматалиев Марлен Абдырахманович,,,,,,Республика - Ата Журт,0,0,",,,,,Республика - Ата Журт",1,False
Мавлянова Махабат Эргешовна,,,,,,Республика - Ата Журт,0,1,",,,,,Республика - Ата Журт",1,False
